name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
Jessica Simpson Fancy Girl EDP 3.4ounce ,"Vanilla Cream, Sandalwood, Amber Musk",,,Women,Pump,,"Golden Orchid, Freesia, Cyclamen",,/uae-en/fancy-girl-edp-3-4ounce/N21226120A/p?o=e5f8e1a55c201a4e,,,3.4 ounce,"Raspberry, Pear, Nectarine",Floral Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinsons Majesty The Oud EDP 100ml ,"Styrax, Vanilla, Loatian Oud",,,Men,Atomizer,,"Leather, Cedar, Sandalwood",,/uae-en/majesty-the-oud-edp-100ml/N26481697A/p?o=ba4ae9cac2cd589a,,,100 ml,"Cloves, Black Tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amouroud White Hinoki EDP 100ml ,,,,Unisex,,,,,/uae-en/white-hinoki-edp-100ml/N27599416A/p?o=b59685584e0fd98b,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,multisize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILIAN On The Rocks EDP 50ml ,"Oakmoss, Ambroxan, Sandalwood",,,Unisex,Splash,,"Oakmoss, Ambroxan, Sandalwood",,/uae-en/on-the-rocks-edp-50ml/N13789932A/p?o=faf4a7f2abde3cdb,,,50 ml,"Coriander, Cardamom",,Yes,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Verne Arabian Isle EDP 80ml ,,,United Kingdom (UK),Unisex,Splash,,,,/uae-en/arabian-isle-edp-80ml/N15656228A/p?o=c9149d63b0ca825c,,Woody,80 ml,,,,,"Smoky Oud, Sweet Amber And Soft Musk",,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleur De Grasse Incensole EDP 50ml ,,,United Arab Emirates (UAE),Unisex,Splash,,,,/uae-en/incensole-edp-50ml/N15828637A/p?o=a0274247e7567a5d,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapil Rave EDP 100ml ,"Amber, Vetiver, Papyrus",,,Women,Splash,,"Bulgarian Rose, Jasmin Sambac, Orris",,/uae-en/rave-edp-100ml/N27050974A/p?o=c3d5d4c30a263dac,,,100 ml,"Plum, Iris, Saffron",,,rave for women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWOOS Nasayem EDP 100ml ,,,United Arab Emirates (UAE),Unisex,,,,,/uae-en/nasayem-edp-100ml/N21092901A/p?o=d32ed86d51e4435e,,,100 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Life EDP 100ml ,,,United Arab Emirates (UAE),Unisex,Splash,,,,/uae-en/life-edp-100ml/N15828610A/p?o=e920ed3407fc0c1e,,,100 ml,,,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENRICOGI Oud Magnifico EDP 100ml ,,,,Unisex,,,,,/uae-en/oud-magnifico-edp-100ml/N13233891A/p?o=be720e261cb40ede,,,100 ml,,,,,,,,,,,"Amber, Black pepper, Saffron, Woods, Amber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAKKAJ Solitude EDP 90ml ,"Musky, Woody",,United Arab Emirates (UAE),Women,Pump,,"Floral, Sweet",,/uae-en/solitude-edp-90ml/N21004192A/p?o=ccc9d68f1b05771a,,Oriental,90 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Burch Jolie Fleur Rose EDP 3.4ounce ,,,,Women,Pump,,,,/uae-en/jolie-fleur-rose-edp-3-4ounce/N36647535A/p?o=b17b05faf7caf4be,,Floral,3.4 ounce,,,,188423849,"Rose, Tea Rose, Cashmeran, Musk, Pink Pepper, Green Notes, Strawberry Leaf, Violet, White Amber And Sandalwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Choo Illicit EDP 100ml ,"Honey-Amber Accord, Sandalwood",,,Women,,,"Rose, Jasmine Sambac",,/uae-en/illicit-edp-100ml/N36969527A/p?o=dd576109ac0ebe8b,,Woody,100 ml,"Ginger, Bitter Orange",,Yes,CS-188418419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Provocateur Miss EDP 100ml ,"Amber, Patchouli, Sandalwood",,,Women,,New,"Rose, Bourbon Geranium",,/uae-en/miss-edp-100ml/N40128544A/p?o=fef5b60965c816ef,,Woody,100 ml,"Pink Pepper, Ylang-Ylang",,,85715720504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE WOODS COLLECTION Dancing Leaves EDP 100ml ,"Patchouli, White Flowers",,,Unisex,,,"Geranium, Sandalwood, Rose",,/uae-en/dancing-leaves-edp-100ml/N11805855A/p?o=d8b9a803176ceead,,,100 ml,"Floral Notes, Green Notes",,,98786581209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederic Malle Dans Tes Bras EDP 100ml ,"Sandalwood, White Musk",,,Unisex,,,"Cashmeran, Heliotrope",,/uae-en/dans-tes-bras-edp-100ml/N15952564A/p?o=d5352915ea7bc4fa,,Woody,100 ml,Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dior Sauvage Perfume 100ml ,"Ambroxan, Cedar, Labdanum",Black,France,Men,Atomizer,New,"Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium, Elemi",Sauvage,/uae-en/sauvage-perfume-100ml/N36479237A/p?o=d1006117a8cc4d9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerlain Samsara EDP 100ml ,"Sandalwood, Vanilla, Iris, Amber, Tonka Bean, Musk",Gold/Red,France,Women,Splash,New,"Iris, Jasmine, Narcissus, Orris Root, Rose, Violet",,/uae-en/samsara-edp-100ml/N11203167A/p?o=c1e17e2b20357b4d,,,,,,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSACE Crystal Noir EDP 90ml ,"Sandalwood, Musk, Amber",,,Women,Atomizer,New,"Coconut, Gardenia, Orange Blossom, Peony",,/uae-en/crystal-noir-edp-90ml/N11201393A/p?o=eaa3def710952c9a,,Spicy,90 ml,,,,145173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCISO RODRIGUEZ Narciso Rouge EDP 90ml ,"Tonka Bean, Vanilla, White Cedar Extract, Cedar, Sandalwood, Vetiver",Red,France,Women,Pump,New,"Musk, Tuberose, Orange Blossom",Rouge,/uae-en/narciso-rouge-edp-90ml/N19712078A/p?o=b2d1f32cb9cbdbae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURBERRY Burberry Body EDP 4.5ml ,"Musk, Cashmere Wood, Vanille, Amber",,,Women,,New,"Rose, Sandalwood, Iris",,/uae-en/burberry-body-edp-4-5ml/N13233507A/p?o=c58d37f9149de7cf,,Fruity,4.5 ml,"Peach, Wormwood, Freesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faberge Brut Parfums Prestige EDP 100ml ,"Vanilla, Amber",,,Unisex,Atomizer,,"Jasmine, Geranium, Neroli and Ylang-Ylan",Brut Parfums Prestige,/uae-en/brut-parfums-prestige-edp-100ml/N36560384A/p?o=ce05ee90aed1264d,,Floral,100 ml,,,,478.30310098.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerlain Insolence EDP 100ml ,"Sandalwood, Woodsy Notes, Tonka bean",,,Women,Splash,New,"Iris, African, Orange Flower, Violet",Insolence,/uae-en/insolence-edp-100ml/N23098411A/p?o=cce1e99fe9a51b8c,,Floral,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGO BOSS The Scent EDP 100ml ,Cacao,Clear/Gold,United Kingdom (UK),Women,Pump,New,Osmanthus,The Scent,/uae-en/the-scent-edp-100ml/N14349593A/p?o=e40c86db58b65c3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANEL Chance EDP 100ml ,"Patchouli, Musk, Vanilla",,,Women,,New,"Jasmine, Iris",,/uae-en/chance-edp-100ml/N11200611A/p?o=fbd39def78256bed,,Musk,100 ml,Pink Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVON Perceive EDP For Her Roll On 50ml ,Cedarwood,,,Men,,New,Sage,1187761,/uae-en/perceive-edp-for-her-roll-on-50ml/N42543438A/p?o=ab4e6a72671599bd,,Fresh,50 ml,,,,1187761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancera Gold Intensitive Aoud EDP 120ml ,"Precious Woods, White Musk, Ambergris",Gold,France,Women,Splash,New,"Rose, Guaiac Wood, Teak Wood, Saffron, Geranium",Gold Intensitive Aoud,/uae-en/gold-intensitive-aoud-edp-120ml/N14552620A/p?o=b12a653fd6c4e18f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolce &amp; Gabbana Dolce Edp 75ml ,"Musk, Cashmeran",,,Women,Splash,New,"Water Lily, Narcissusm, Amaryllis",,/uae-en/dolce-edp-75ml/N11202496A/p?o=e12006a679f8c05e,,Floral,75 ml,"Neroli, Papaya Flower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURBERRY The Beat EDP 75ml ,"White Musk, Vetiver, Cedar",Clear/Silver,United Kingdom (UK),Women,Pump,New,"Tea, Iris, Bellflower",The Beat,/uae-en/the-beat-edp-75ml/N11201187A/p?o=c1b29e8561de224f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Saint Laurent La Nuit De EDP 100ml ,"Tonka Bean, Sandalwood, Patchouli, Vetiver",Orange/Black,France,Men,Pump,New,"Leather, Lavender, Clary Sage",La Nuit De,/uae-en/la-nuit-de-edp-100ml/N35537419A/p?o=b776001e32245edb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUCCI Bloom EDP 100ml ,,,,Women,Atomizer,New,,,/uae-en/bloom-edp-100ml/N13167301A/p?o=ff42e0b90167d20e,,Floral,100 ml,,,,B076JJ4CS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Cavalli Florence EDP 50ml ,"Amber, Musk, Patchouli",,,Women,Atomizer,New,"Grapefruit Blossom, Hibiscus Seeds, Orange Blossom",,/uae-en/florence-edp-50ml/N13134086A/p?o=e1480890f200e7cb,,Floral,50 ml,"Black Currant, Tangerine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lattafa Al Maas EDP 35ml ,,,United Arab Emirates (UAE),Unisex,Splash,New,,Al Maas,/uae-en/al-maas-edp-35ml/N20117833A/p?o=e9e95a3fda21b8bd,,,35 ml,,,,6291110000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOM FORD Black Orchid EDP For Unisex 100ml ,"Mexican chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver and White Musk",,,Women,Atomizer,New,"Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine and Lotus",,/uae-en/black-orchid-edp-for-unisex-100ml/N11201810A/p?o=f263e8448668744d,,Oriental,100 ml,"Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange and Amalfi Lemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGIO ARMANI Si Passione EDP For Women 100ml ,"Vanilla, Cedar, Patchouli, Amberwood",,,Women,Atomizer,New,"Rose, Pineapple, Heliotrope, Jasmine",,/uae-en/si-passione-edp-for-women-100ml/N16718737A/p?o=cb39a272cf11504f,,Fruity,100 ml,,,,ARM00301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinsons Her Majesty The Oud EDP 100ml ,"Oud of Assam accord, Leather, Vanilla",,,Women,,,"Turkish rose, Saffron, Iris",Her Majesty The Oud,/uae-en/her-majesty-the-oud-edp-100ml/N15244099A/p?o=c1ee9ff3aa5983ac,,Fresh,100 ml,"Osmanthus flower, Red fruit jam",,,,"Tea Notes, Leather, Cedar And Sandalwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niya Himalayan Jasmine (Intention) EDP 100ml ,"Vanilla, White Musk",Himalayan Jasmine,United Arab Emirates (UAE),Women,Atomizer,,"Jasmine, Osmanthus, Peach, Apricot",,/uae-en/himalayan-jasmine-intention-edp-100ml/N22879411A/p?o=b213ff5f8432285f,,Floral,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Romance EDP 45ml ,"Amber, Musk, Powdery Notes, Cedar and Sandalwood",,,Women,Pump,,"Rose,Jasmine",,/uae-en/romance-edp-45ml/N12890398A/p?o=b5ab78663be8abaa,,Floral,45 ml,"Hyacinth, Galbanum, Ylang-ylang, Apricot, Raspberry And Peach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANVIN PARIS Eclat D'fleurs EDP 100ml ,White Musk and Sandalwood,,,Women,,,"Rose, Arabic Jasmine and Freesia",Lanvin,/uae-en/eclat-d-fleurs-edp-100ml/N11202171A/p?o=af0cc77b70dd9abc,,,100 ml,Pear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Provocateur Fatale Intense EDP 100ml ,Spicy Shades of Red Pepper,,,Women,,New,Blackberry Tints,AGENT PROVOCATEUR FATALE INTENSE (W),/uae-en/fatale-intense-edp-100ml/N40128580A/p?o=a9ec4a44606d8ddd,,Spicy,100 ml,,,,85715792259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niya Vetiver Spice EDP 100ml ,"Vetyver, Oakmoss",Vetiver Spice,United Arab Emirates (UAE),Unisex,Atomizer,,"Nutmeg, Lavender, Patchouli",Niya Fragrance 11,/uae-en/vetiver-spice-edp-100ml/N26667248A/p?o=e9ba81a79032241f,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehen w 3oood Hair Mist Dana Al Ain 30ml ,Feather,,United Arab Emirates (UAE),Unisex,,New,Wood,Dana Al Ain-30,/uae-en/hair-mist-dana-al-ain-30ml/N40842328A/p?o=c477c65117d8ecbd,,Arabian,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORLOFF Take Me to the Moon EDP 100ml ,Cedar Wood and Moss,,,Women,,,"Jasmine Sambac Absolu, Osmanthus and Rose",Korloff,/uae-en/take-me-to-the-moon-edp-100ml/N11202147A/p?o=d797657fc021542a,,,100 ml,"Pear, Bergamot and White Peach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYREDO Black Saffron EDP 100ml ,"Cashmeran, Vetiver and Raspberry",,,Unisex,,,"Black Violet, Leather",Black Saffron,/uae-en/black-saffron-edp-100ml/N36645349A/p?o=ae761b419fa76f0c,,Fruity,100 ml,"Chinese Grapefruit, Juniper Berries and Saffron",,,CS-188409471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCISO RODRIGUEZ Fleur Musc EDP 100ml ,"Patchouli, Amber",,France,Women,,New,"Rose, Peony, Musk",,/uae-en/fleur-musc-edp-100ml/N12890659A/p?o=d99c71185ad0458d,,Floral,100 ml,Pink Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIVE CHRISTIAN Clive Christian 1872 Fresh Citrus EDP 50ml ,"Cedar, Patchouli, Olibanum, Ambergris, Musk",,,Women,Atomizer,,"Cyclamen, Sage, Freesia, Tagetes, Jasmine",1872 Fresh Citrus,/uae-en/clive-christian-1872-fresh-citrus-edp-50ml/N26481740A/p?o=af9614ae472297de,,,50 ml,"Grapefruit, Lime, Bergamot, Petitgrain, Black Pepper, Nutmeg, Basil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Simpson Vintage Bloom EDP 100ml ,Musk And Sandalwood,,,Women,,,"Raspberry Blossom, Peony",Vintage Bloom,/uae-en/vintage-bloom-edp-100ml/N23105172A/p?o=d8fad2b707fd64aa,,Floral,100 ml,"Lemon, Caipirinha Lime Zest",,,Vintage Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACOSTE Pour EDP 90ml ,"Himalayan Cedar-Wood, Sandal, Incense",,,Women,Pump,New,"White Heliotrope, Iranian Jasmine, Hibiscus Blossom, Bulgarian Rose",,/uae-en/pour-edp-90ml/N13581736A/p?o=e18ec7b66853e3bf,,Floral,90 ml,"Jamaican Pepper, Purple Freesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE WOODS COLLECTION Green Walk EDP 100ml ,,,,Unisex,,,,,/uae-en/green-walk-edp-100ml/N11805854A/p?o=f022891c1729012e,,,100 ml,,,,98786581208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiziana Terenzi Bigia EDP 100ml ,"White Oud, Agarwood (oud), Sand, Amber And Musk",,,Unisex,,,"Magnolia, Musk, Rose And White Orchid",Bigia,/uae-en/bigia-edp-100ml/N11756512A/p?o=82dd237f81704953,,Fruity,100 ml,"Passionfruit, Red Fruits And Saffron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dior Pure Poison EDP 100ml ,"Amber, Cedar, Sandalwood, White Musk",,,Women,,New,"Gardenia, Orange Tree Blossom",,/uae-en/pure-poison-edp-100ml/N11200659A/p?o=b64984eae04a1d3b,,Floral,100 ml,"Bergamot, Jasmine, Orange, Sicilian Mandarin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armaf Club De Nuit EDP 105ml ,"Musk, Patchouli, Vanilla, Vetiver",,,Women,Splash,,"Geranium, Jasmine, Litchi, Rose",,/uae-en/club-de-nuit-edp-105ml/N15809035A/p?o=cb303de4c7fe81fa,,,105 ml,"Bargamot, Grapefruit, Peach, Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amouroud Bois D Orient EDP 100ml ,"Amber, Peru Balsam, Vetiver, Patchouli",,,Unisex,Splash,,"Tuberose Absolute, Ylang-Ylang, Galbanum, Turkish Rose",,/uae-en/bois-d-orient-edp-100ml/N27531566A/p?o=be34bf49288294fd,,Arabian,100 ml,,,,008952167109,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amouroud Midnight Rose EDP 100ml ,"Amber, Labdanum, Oud",,,Unisex,Splash,,"Lily, Red Rose, Iri",,/uae-en/midnight-rose-edp-100ml/N27531568A/p?o=a9913e17558354ef,,Fresh,100 ml,"Lychee, Pomelo, Mata",,,008952163101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariana Grande Sweet Like Candy EDP 3.4ounce ,"Marshmallow, Cashmere Woods, Vanilla",,,Women,,,"Jasmine Sambac, Frangipani, Dewy honeysuckle",,/uae-en/sweet-like-candy-edp-3-4ounce/N23723564A/p?o=e66d13dc4aff99be,,,3.4 ounce,"Sparkling Blackberry, Italian Bergamot, Pear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond No.9 New York Sandalwood EDP 100ml ,,,,Men,Splash,,,,/uae-en/new-york-sandalwood-edp-100ml/N26193220A/p?o=ece54a9a797592eb,,Floral,100 ml,,,Yes,B00QAITI9K,,,,,,,"Amber, oud, musk and patchouli, perfume sandalwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA HERRERA 212 VIP EDP 100ml ,"Vanilla, Tonka Bean",,,Women,Pump,New,"Gardenia, Musk",212 VIP,/uae-en/212-vip-edp-100ml/N12880925A/p?o=cec005e24ddc90ec,,Vanilla,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerlain Mon Florale EDP 50ml ,"Tahitian Vanilla, Coumarin, Australian Sandalwood, Benzoin, Licorice And Patchouli.",,,Women,Atomizer,New,"Iris, Jasmine Sambac And Rose",,/uae-en/mon-florale-edp-50ml/N19578568A/p?o=a65249440e74917a,,Floral,50 ml,,,,3346470133983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUCCI Bloom Nettare Di Fiori EDP 30ml ,"Patchouli, Musks, Osmanthus",,,Women,Atomizer,New,"Tuberose, Honeysuckle, Jasmine, Rangoon Creeper",,/uae-en/bloom-nettare-di-fiori-edp-30ml/N26850504A/p?o=a25a38d7dec8d78c,,Floral,30 ml,,,,3614227570085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
